INFO  - 2014-10-01 16:31:37.606; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-10-01 16:31:37.677; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr-4.7.2/ihs/contexts at interval 0
INFO  - 2014-10-01 16:31:37.695; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr-4.7.2/ihs/contexts/solr-jetty-context.xml
INFO  - 2014-10-01 16:31:37.812; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/opt/solr-4.7.2/ihs/webapps/solr.war!/ to /opt/solr-4.7.2/ihs/solr-webapp/webapp
INFO  - 2014-10-01 16:31:40.472; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-01 16:31:40.603; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-10-01 16:31:40.648; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-10-01 16:31:40.648; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-10-01 16:31:40.650; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-10-01 16:31:40.911; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr-4.7.2/ihs/solr/solr.xml
INFO  - 2014-10-01 16:31:41.297; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:31:41.318; org.apache.solr.core.CoreContainer; New CoreContainer 1358975459
INFO  - 2014-10-01 16:31:41.318; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-10-01 16:31:41.350; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-10-01 16:31:41.351; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-10-01 16:31:41.359; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-10-01 16:31:41.362; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-10-01 16:31:41.363; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-10-01 16:31:41.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-10-01 16:31:41.364; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-10-01 16:31:41.365; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-10-01 16:31:41.365; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-10-01 16:31:41.636; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-10-01 16:31:41.639; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-10-01 16:31:41.641; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-10-01 16:31:41.726; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:31:41.735; org.apache.solr.core.CorePropertiesLocator; Found 0 core definitions
INFO  - 2014-10-01 16:31:41.740; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/opt/solr-4.7.2/ihs
INFO  - 2014-10-01 16:31:41.740; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-10-01 16:31:41.800; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:34:51.203; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:34:51.204; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/opt/solr-4.7.2/ihs/solr-webapp/webapp/},/opt/solr-4.7.2/ihs/webapps/solr.war
INFO  - 2014-10-01 16:34:52.210; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1358975459
INFO  - 2014-10-01 16:34:52.224; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/opt/solr-4.7.2/ihs/solr-webapp/webapp/},/opt/solr-4.7.2/ihs/webapps/solr.war
INFO  - 2014-10-01 16:34:58.422; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-10-01 16:34:58.456; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr-4.7.2/ihs/contexts at interval 0
INFO  - 2014-10-01 16:34:58.463; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr-4.7.2/ihs/contexts/solr-jetty-context.xml
INFO  - 2014-10-01 16:34:59.417; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-01 16:34:59.482; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-10-01 16:34:59.510; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-10-01 16:34:59.510; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-10-01 16:34:59.511; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-10-01 16:34:59.648; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr-4.7.2/ihs/solr/solr.xml
INFO  - 2014-10-01 16:34:59.766; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:34:59.774; org.apache.solr.core.CoreContainer; New CoreContainer 1132089570
INFO  - 2014-10-01 16:34:59.774; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-10-01 16:34:59.787; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-10-01 16:34:59.787; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-10-01 16:34:59.791; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-10-01 16:34:59.791; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-10-01 16:34:59.794; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-10-01 16:34:59.794; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-10-01 16:34:59.794; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-10-01 16:34:59.794; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-10-01 16:34:59.795; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-10-01 16:34:59.907; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-10-01 16:34:59.908; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-10-01 16:34:59.909; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-10-01 16:34:59.965; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr-4.7.2/ihs/solr
INFO  - 2014-10-01 16:34:59.967; org.apache.solr.core.CorePropertiesLocator; Found 0 core definitions
INFO  - 2014-10-01 16:34:59.970; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/opt/solr-4.7.2/ihs
INFO  - 2014-10-01 16:34:59.970; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-10-01 16:34:59.997; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:38:39.063; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1412206719268&wt=json} status=0 QTime=56 
INFO  - 2014-10-01 16:38:39.219; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1412206719461&wt=json} status=0 QTime=38 
INFO  - 2014-10-01 16:41:01.863; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1412206862124&wt=json} status=0 QTime=1 
INFO  - 2014-10-01 16:42:43.025; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-10-01 16:42:43.026; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/opt/solr-4.7.2/ihs/solr-webapp/webapp/},/opt/solr-4.7.2/ihs/webapps/solr.war
INFO  - 2014-10-01 16:42:44.028; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1132089570
