query nfact factsize facts ndim dimsize dims qsize nfrom nwhere nskwhere ngroup norder ncte nsum navg ncase inter_size final_size
query1 0 0 None 4 53.63 store_returns,store,date_dim,customer 0.92 3 7 0 1 1 1 1 1 0 0 0
query10 3 792.72 catalog_sales,store_sales,web_sales 4 104.61 customer_address,customer_demographics,date_dim,customer 1.89 4 20 12 1 1 0 0 0 0 0 0
query11 2 510.52 store_sales,web_sales 2 22.44 date_dim,customer 2.97 3 18 14 2 1 1 2 0 2 0 0
query12 1 140.07 web_sales 2 14.66 item,date_dim 0.89 1 5 3 1 1 0 4 0 0 0 0
query13 1 370.45 store_sales 5 92.15 customer_address,store,customer_demographics,household_demographics,date_dim 1.66 1 39 28 0 0 0 1 3 0 0 0
query14 3 792.72 catalog_sales,store_sales,web_sales 2 14.66 item,date_dim 6.70 35 74 39 6 2 4 12 2 0 0 0
query15 1 282.2 catalog_sales 3 27.69 customer_address,date_dim,customer 0.64 1 8 5 1 1 0 1 0 0 0 0
query16 1 282.2 catalog_sales 4 35.48 call_center,customer_address,date_dim,catalog_returns 1.49 3 12 8 0 1 0 2 0 0 0 0
query17 2 652.65 catalog_sales,store_sales 4 45.85 store_returns,item,store,date_dim 1.73 1 13 4 1 1 0 0 7 0 0 0
query18 1 282.2 catalog_sales 5 109.43 item,customer_address,customer_demographics,date_dim,customer 1.53 1 11 5 1 1 0 0 7 0 0 0
query19 1 370.45 store_sales 5 32.51 item,customer_address,store,date_dim,customer 0.92 1 9 4 1 1 0 1 0 0 0 0
query2 0 0 None 1 9.84 date_dim 2.22 7 6 2.5 1 1 2 7 0 7 0 0
query20 1 282.2 catalog_sales 2 14.66 item,date_dim 0.91 1 5 3 1 1 0 4 0 0 0 0
query21 0 0 None 4 240.13 item,warehouse,inventory,date_dim 1.15 2 9 6 1 1 0 2 0 3 0 0
query22 0 0 None 4 240.13 item,warehouse,inventory,date_dim 0.67 1 5 2 1 1 0 0 1 0 0 0
query23 3 792.72 catalog_sales,store_sales,web_sales 3 27.26 item,date_dim,customer 3.89 24 36 5 8 1 6 9 0 0 0 0
query24 1 370.45 store_sales 5 53.86 store_returns,item,customer_address,store,customer 2.28 6 18 10 4 0 2 6 2 0 0 0
query25 2 652.65 catalog_sales,store_sales 4 45.85 store_returns,item,store,date_dim 1.02 1 18 9 1 1 0 0 0 0 0 0
query26 1 282.2 catalog_sales 4 91.62 item,customer_demographics,date_dim,promotion 0.80 1 10 6 1 1 0 0 4 0 0 0
query27 1 370.45 store_sales 4 91.58 item,store,customer_demographics,date_dim 1.33 1 9 5 1 1 0 0 4 0 0 0
query28 1 370.45 store_sales 0 0 None 2.71 7 48 48 0 0 0 0 6 0 0 0
query29 2 652.65 catalog_sales,store_sales 4 45.85 store_returns,item,store,date_dim 1.26 1 16 7 1 1 0 0 0 0 0 0
query3 1 370.45 store_sales 2 14.66 item,date_dim 0.68 1 4 2 1 1 0 1 0 0 0 0
query30 0 0 None 4 37.04 customer_address,web_returns,date_dim,customer 1.29 3 8 2.5 1 1 1 1 1 0 0 0
query31 2 510.52 store_sales,web_sales 2 15.09 customer_address,date_dim 1.69 3 23 19 2 1 2 2 0 4 0 0
query32 1 282.2 catalog_sales 2 14.66 item,date_dim 0.79 2 10 6 0 0 0 1 1 0 0 0
query33 3 792.72 catalog_sales,store_sales,web_sales 3 19.91 item,customer_address,date_dim 2.18 10 24 15 4 1 3 4 0 0 0 0
query34 1 370.45 store_sales 4 22.58 store,household_demographics,date_dim,customer 2.03 2 16 11 1 1 0 0 0 1 0 0
query35 3 792.72 catalog_sales,store_sales,web_sales 4 104.61 customer_address,customer_demographics,date_dim,customer 1.67 4 17 9 1 1 0 0 0 0 0 0
query36 1 370.45 store_sales 3 14.66 item,store,date_dim 1.46 1 5 2 1 2 0 4 0 2 0 0
query37 1 282.2 catalog_sales 3 240.13 item,inventory,date_dim 0.77 1 10 7 1 1 0 0 0 0 0 0
query38 3 792.72 catalog_sales,store_sales,web_sales 2 22.44 date_dim,customer 0.96 4 12 6 0 0 0 0 0 0 0 0
query39 0 0 None 4 240.13 item,warehouse,inventory,date_dim 2.51 6 19 -3 2 2 2 0 2 0 0 0
query4 3 792.72 catalog_sales,store_sales,web_sales 2 22.44 date_dim,customer 4.37 4 28 22 3 1 1 3 0 4 0 0
query40 1 282.2 catalog_sales 4 35.05 item,warehouse,date_dim,catalog_returns 1.00 1 8 4 1 1 0 2 0 2 0 0
query41 0 0 None 1 4.82 item 2.17 2 61 61 0 1 0 0 0 0 0 0
query42 1 370.45 store_sales 2 14.66 item,date_dim 0.60 1 5 3 1 1 0 2 0 0 0 0
query43 1 370.45 store_sales 2 9.84 store,date_dim 1.17 1 4 2 1 1 0 7 0 7 0 0
query44 1 370.45 store_sales 1 4.82 item 1.80 9 11 -0.5 4 3 0 0 6 0 0 0
query45 1 140.07 web_sales 4 32.51 item,customer_address,date_dim,customer 0.84 2 9 4.5 1 1 0 1 0 0 0 0
query46 1 370.45 store_sales 5 27.83 customer_address,store,household_demographics,date_dim,customer 1.76 2 12 4.5 1 1 0 2 0 0 0 0
query47 1 370.45 store_sales 3 14.66 item,store,date_dim 1.77 3 21 18 1 2 2 2 1 1 0 0
query48 1 370.45 store_sales 4 92.01 customer_address,store,customer_demographics,date_dim 1.42 1 33 25 0 0 0 1 0 0 0 0
query49 3 792.72 catalog_sales,store_sales,web_sales 6 75.59 store_returns,item,web_returns,store,date_dim,catalog_returns 3.67 9 30 21 3 7 0 12 0 0 0 0
query5 3 792.72 catalog_sales,store_sales,web_sales 7 72.34 store_returns,catalog_page,web_returns,web_site,store,date_dim,catalog_returns 3.97 13 13 -6 4 1 3 15 0 0 0 0
query50 1 370.45 store_sales 3 41.03 store_returns,store,date_dim 1.64 1 11 -2 1 1 0 5 0 5 0 0
query51 2 510.52 store_sales,web_sales 2 9.84 store,date_dim 1.68 5 14 2 2 5 2 4 0 2 0 0
query52 1 370.45 store_sales 2 14.66 item,date_dim 0.56 1 5 3 1 1 0 1 0 0 0 0
query53 1 370.45 store_sales 3 14.66 item,store,date_dim 1.12 2 11 8 1 1 0 2 1 1 0 0
query54 3 792.72 catalog_sales,store_sales,web_sales 5 32.51 item,customer_address,store,date_dim,customer 1.83 8 18 4 2 1 3 1 0 0 0 0
query55 1 370.45 store_sales 2 14.66 item,date_dim 0.48 1 5 3 1 1 0 1 0 0 0 0
